,sequence,N_A,N_C
0,BCCBBCBBDCBBCBBCBDBDDCCDCDBBBBDDDCCBDDCBBCAADDDDBCBBCBDBBCBBCCDDCCABCCBBCCABBCDBDBDBABDCBBADDCDDADCD,7,28
1,BDDBBBBCBCCADDBBDBCBCCCBBBDDCBDBBCCCADCCADCDCBBCDBBCDDDADCBBBDDCADCBBCCBBABBBBADDCCCDDDDABCCBDDDDBCC,8,29
2,BBBBBDDBDABBDBBCBCABCABDBBBBCCBDCDCBADABBDCCDADDDCACBCDADDBCCCABBDADDADBBCABCDCBBCCBBDACCBBAABCABBBD,16,23
3,BBABCDBBDDCBCCDCCCACDBCBAADBDDBBCAADDDBBBCCCACDAACDBBBAAABCBCDCCBDCDABACCBADBDACBDADDDBBDCBCBCDAADAD,20,26
4,BBBABBCABADDDBBCDBCDABBADDDBBCBCADCDBBCCDDCCBCDDAACADDADABBBADCCCDAACAABCBACBADBBDABBACBDABACBBCBBBC,22,22
5,CCCAABDAADDDBCBDCBABDBCCBDBACBCADABDCAAABBCBAAABBDBABDAADDDDCCAACCCCADCADBDBCDAADCDCCABBDDAACCBABBBD,27,24
6,DBCDCBCCDBDADCDAAAABCCADDCABCBCABDDAADADCDDDDCBABABCCACCCBBABBABAAAAAABDABBBCAADAABDBDBAACAABCACDBCD,32,22
7,ABDDDAACCDDADCACACDADCCACCBCCCADDACDDDDADDDAADDCACDADCADCACACBACCCAAAADACCCAADACDAAADADCADDCCCDDCCDA,33,32
8,ABABCAAAABACBAAAADACBCCBDADACABCCDDCDAADACDDCAAAACADAABDADBACACAACADCABBCADACDCADACDDDCADCACDDCADBDA,40,24
9,ADDACADCADDDADAAAAAAABBCAABAAADAAADDAADDAACCCADCCAAABCAADAAAACADCACADAABBDDAADCCDACCCCADDADADCCACCCC,46,24
