,sequence,N_A,N_C
0,CBDCBDCBCBDDDDCDDDCBBCCBDCCDBABDBDCCBCBCCCDBBDCBDCDBDCDDDBBCDDCDADDDCBCCCCDCBBBDBACBBBDBCBCBDABDCDCC,4,33
1,ABDBDBCCDDDABDDACCDBDBCDBCBCDCCBBADCBDBCCDCBDCBDBCDBCDBABCBDABBBBBCDCDBBCBBDBBBBCCCBBBDBBBCBBBDBBDBC,6,25
2,BDCAACBCBBBBDDABBCBDDCBBBBCDBCBDCDBBDDCBADBCCDCBCBBDCBCBCBCCCBBADACBCBDBACDDDBDBBDDCDDBBCBBCCBCDBDDD,7,27
3,ADBBBBBBBBCBBBCACBBBCABBDBCBCCDCCCBCDCCCDADCDBDDBCADACDCBBBDDCBDBBDBBCBDBBADCDCBCDCBDDDBDABBDCBDBCBD,8,26
4,DCDDBDDCDCCBBDCCDBCADADBACDBCCDDCCCDADDCDDCCBDCCDDDDDBBACCCCDADBDBBCABDCCCDCBBDDCDCBCBCBCCADCBBDCCDD,8,36
5,ADCDDCDBDBCDDCBDCCDCCDBACDBDDBACBCDDCCDADCCCBACCABDDDDACACCDDACDADDBCCCDCDCDDDCBCDCDBBCCDBCDDCCDCCCD,10,38
6,BBBBABABDCCACDCCBBABDCCBDBCBCBBBBBBABBABBAACBCBCCDDBCABBDBCCBBCDCCDCBDDBDDBDBBDBBBDACBBDADBDBCDADCDD,12,23
7,ABACBADBBBBCDBCCBBCDDBDCBCDCDBAABDCBABAABBBACDDBBDCACBBBDBBBCBBBCBBBBDABADBDBDBBDBDCBBCCBBBDBBBBCCAB,13,19
8,BCDBDDCDADDCCDDAADDDBCBCDDCCDCCDBDCDDCCDCDABCCABACDCBBCCDCDCCDDDDDCACCCACDDADDADBCBCCDBCBCBBAACCBBAD,13,35
9,BCDDCCDCBACCDBCCDBDDADDCCDDCDDDCCDDDCDCDCBCCCBABCBDCBDBBDCDABDBDADCDDCCDCCDBBDABDCCDCAACDBAACACADACC,13,35
10,BBDCACDBCABBCBCDCBDDBBDDBCDBCBCCACCBADADBCBDADBCCDCDBBBDCACCCDBDADABCDBBDBDACDDDDDABBCCCBABDAACDCBCB,14,28
11,ACCCDAADCCADCCDDBCDABCDCCDDCDACDDCDDCCADACDADACDDDACCDADBBCBDDCDDCCDCDAADDCDBDDDCCBDCCCDDCDCCCCCCBDC,14,39
12,BBBACBBBDACDBCDBABBBDDBBDCBDBBAAACBBBBBBBCCCBCBBDCBDBBBADCDBBDBBABBBBCABBCBBBABBADABDABBBAACBBBDBCBB,15,15
13,BBDCBCBCDDBBABBBBBBABBABCBBDDBBBCDABCBBBBADDBCCADBBBCBABACCCCBCABBABBBDBBDDDBBCDCCDAACAABBDDABDBCBBD,15,19
14,ADBBCCCDBBDDBBCCBCDCDCADBACCACADCDDBDCACDAACDBAADCCADCDADDCACABDDCBDCDDCBDBBCDBDBBCBCBBBDDDCCCADDCBC,15,31
15,DBACBCBDDBDAACDBCDBBCBCDBCDBCCDBCCBABBADDCCBABCDDBBDADBBBBBABBBDBAACDACBDBBDBACCADCBCBBBBBDAABBCBACD,16,22
16,BAADDDDCADCCDCCDADACADCCDCBCDAACADDDADDBDDCADCCDBCACCDBACACDCCBBABCDDACCCCDCCCDCDCDDDBADCDCCDCDCDDDC,17,37
17,CABBBBCBBBABBBBCBAADBCDBAABDDCBBAACBACBBDADDBDCBAAADCBBBBBABBCCBDBBCBCADBDBBDBCADBDABBBDBBCDABDCCBAC,19,18
18,CDDBCBDCBBADBBAACBAADADBBADBDCDBCACBCBBBACACABCBBBCABDBABBABDADDDBBACBCBBDBDBCABBBDBBDBCACCBBBCBABBD,19,19
19,AABCDADCBDADBDCACCBCACBAABBBDDDACCAABADCBBADBCDDBCABCACBDCBDBDDDDBCDCBCDACBCCCBABBDDCADBCADDCBCDDCBB,19,27
20,BDCAACDABDDADCCDACDDDBDCBCBBACCAABCBCBCBAABDBDDBCBCDADDCDDACCCCBDCDBDAACBBDBBCDABADDDCABCBACCDBACCDB,19,28
