LAMMPS data file via write_data, version 23 Jun 2022, timestep = 1000000

20 atoms
4 atom types
19 bonds
1 bond types

0 35 xlo xhi
0 35 ylo yhi
0 35 zlo zhi

Masses

1 1
2 1
3 1
4 1

Atoms # full

14 1 1 0 12.765041529327002 33.70527550168561 26.20895951198285 0 0 0
8 1 3 -1 11.159580304066498 31.661494983776894 26.18475028708337 0 0 0
7 1 3 -1 10.498428235879727 30.960923494493766 26.37316424168799 0 0 0
9 1 2 0 11.83355865889447 32.211617344236174 25.710314249658516 0 0 0
10 1 1 0 11.006532340284172 32.67886621518832 25.79815173783935 0 0 0
12 1 2 0 11.863720288657634 34.10473916097724 26.275941356612094 0 0 0
1 1 1 0 12.325925343712155 31.764333409691176 27.487201237517414 0 0 0
2 1 2 0 11.38366693186853 31.935723315155123 27.390342118063536 0 0 0
13 1 2 0 12.171848066663957 33.39418953430598 26.914156436067774 0 0 0
4 1 4 1 10.408023242883946 32.43521717950795 27.725425839400152 0 0 0
3 1 4 1 10.913863390461042 32.66771979477728 27.008161751802064 0 0 0
5 1 1 0 10.192842553470326 31.726021880815907 27.0702469673735 0 0 0
11 1 1 0 11.796878575422594 33.3014052324289 25.77600750581492 0 0 0
6 1 2 0 10.59711324317324 30.911816808667137 27.448396531687628 0 0 0
20 1 2 0 13.991018755129923 32.49134485366287 25.70549660560275 0 0 0
16 1 2 0 14.35446377570559 34.54150822035996 26.03093013144357 0 0 0
18 1 4 1 14.88544064626189 33.75997393736642 25.644217043460348 0 0 0
17 1 3 -1 14.112733959731225 34.13007737805279 25.206838878481253 0 0 0
19 1 1 0 14.913198038695608 32.79950088886801 25.850660394098732 0 0 0
15 1 1 0 13.42989385688611 34.40983675149659 25.974615498600755 0 0 0

Velocities

14 -1.7045037247712491 -1.467310530463265 1.7097581578885757
8 0.5028464007064324 -0.0399019971885211 -1.203011629673719
7 0.41798602471302726 0.5688023098639999 0.043035051706612225
9 -1.5232729109286993 0.7441609137311717 -1.2094061496519377
10 3.05360027555862 -0.4001796628528592 0.21784038981506534
12 1.5869332253089201 -1.2431727028505553 -0.25337415590461243
1 -0.40715604781242715 -1.2223193068998304 -0.9131635653178721
2 0.02693997283192083 -0.26054320277114984 1.027727671925383
13 0.6166168962743763 0.7292182739649818 -0.6099498702593428
4 -0.39384162026961317 1.5849868286493936 0.5102735404193305
3 -1.2737290919235023 -1.140380596446963 0.5285669472166891
5 -0.6005072530943267 0.4998859696163191 -0.7163763358495924
11 -0.15796011082794514 0.20525528513924296 0.47464374620985306
6 0.7776627061365389 0.42139885517795994 1.2630334799179361
20 -0.9678987222667006 -0.055433688825142734 0.1450500651963115
16 -0.47022110381870463 -0.6604615422337933 0.596092696909763
18 0.51149070337343 0.789848234238408 -1.1562725826101543
17 0.15850188651974223 1.011136750752371 0.48656657907201506
19 0.11724072084684994 0.8521355268428231 0.09106252431043901
15 -0.27072822655668943 -0.9171257174445904 -1.0320965613207422

Bonds

1 1 14 15
2 1 8 9
3 1 7 8
4 1 9 10
5 1 10 11
6 1 12 13
7 1 1 2
8 1 2 3
9 1 13 14
10 1 4 5
11 1 3 4
12 1 5 6
13 1 11 12
14 1 6 7
15 1 16 17
16 1 18 19
17 1 17 18
18 1 19 20
19 1 15 16
